supplier,scenario,rts,peer_supplier,lambda_value,perturbed_parameter,perturbation_direction,delta
I,delivery_reliability_led,CCR,I,1.0,late_pct,plus,0.05
I,product_quality_led,CCR,I,1.0,late_pct,plus,0.05
D,balanced_improvement,CCR,A,0.00004315754472519795,late_pct,plus,0.05
D,balanced_improvement,CCR,B,0.44074152196886757,late_pct,plus,0.05
D,balanced_improvement,CCR,H,0.1630480553637372,late_pct,plus,0.05
D,balanced_improvement,CCR,I,0.15743465599041037,late_pct,plus,0.05
D,cost_led_development,CCR,A,0.000041782445630277444,late_pct,plus,0.05
D,cost_led_development,CCR,B,0.5994189842246644,late_pct,plus,0.05
D,cost_led_development,CCR,H,0.06951320442911131,late_pct,plus,0.05
D,cost_led_development,CCR,I,0.11854739257728338,late_pct,plus,0.05
D,delivery_reliability_led,CCR,A,0.00006232578343272188,late_pct,plus,0.05
D,delivery_reliability_led,CCR,B,0.22165006467645307,late_pct,plus,0.05
D,delivery_reliability_led,CCR,H,0.2501238070300479,late_pct,plus,0.05
D,delivery_reliability_led,CCR,I,0.2688456019347883,late_pct,plus,0.05
D,product_quality_led,CCR,A,0.000022759601668844362,late_pct,plus,0.05
D,product_quality_led,CCR,B,0.44456720120605797,late_pct,plus,0.05
D,product_quality_led,CCR,H,0.21614499382736363,late_pct,plus,0.05
D,product_quality_led,CCR,I,0.19103804562677554,late_pct,plus,0.05
E,balanced_improvement,CCR,B,0.08947692042067179,late_pct,plus,0.05
E,balanced_improvement,CCR,H,0.4573344416826752,late_pct,plus,0.05
E,cost_led_development,CCR,B,0.25079724848031626,late_pct,plus,0.05
E,cost_led_development,CCR,H,0.3280721091966575,late_pct,plus,0.05
E,delivery_reliability_led,CCR,H,0.5052028720412686,late_pct,plus,0.05
E,product_quality_led,CCR,H,0.614503677988027,late_pct,plus,0.05
C,balanced_improvement,CCR,A,0.16518360140630367,late_pct,plus,0.05
C,balanced_improvement,CCR,B,0.5094819168628435,late_pct,plus,0.05
C,balanced_improvement,CCR,H,0.1310501497166489,late_pct,plus,0.05
C,cost_led_development,CCR,A,0.21850980772075027,late_pct,plus,0.05
C,cost_led_development,CCR,B,0.6389969079761617,late_pct,plus,0.05
C,cost_led_development,CCR,H,0.000049386258969791186,late_pct,plus,0.05
C,cost_led_development,CCR,I,0.04720272214751901,late_pct,plus,0.05
C,delivery_reliability_led,CCR,A,0.15550236096219283,late_pct,plus,0.05
C,delivery_reliability_led,CCR,B,0.22860021061861646,late_pct,plus,0.05
C,delivery_reliability_led,CCR,H,0.2535177219909956,late_pct,plus,0.05
C,delivery_reliability_led,CCR,I,0.07975657021736243,late_pct,plus,0.05
C,product_quality_led,CCR,A,0.05537560226701187,late_pct,plus,0.05
C,product_quality_led,CCR,B,0.6684458388985545,late_pct,plus,0.05
C,product_quality_led,CCR,H,0.2143597421467227,late_pct,plus,0.05
K,balanced_improvement,CCR,A,0.021721104302301474,late_pct,plus,0.05
K,balanced_improvement,CCR,B,0.35458372113565245,late_pct,plus,0.05
K,balanced_improvement,CCR,H,0.035908604438515734,late_pct,plus,0.05
